date,open,high,low,close,volume,volume
2010-01-04,2565.108,2570.152,2514.237,2514.646,27327443.0,36468522.963
2010-01-05,2526.291,2560.667,2487.048,2543.991,35377438.0,50779118.26
2010-01-06,2538.285,2549.571,2513.365,2514.014,29646151.0,43444325.534
2010-01-07,2516.057,2527.427,2450.402,2463.758,32043185.0,44611409.814
2010-01-08,2453.061,2470.024,2432.013,2466.165,22683410.0,32335059.424
2010-01-11,2584.528,2584.528,2467.67,2478.81,40841194.0,59816278.688
2010-01-12,2472.623,2513.298,2435.156,2508.039,38048146.0,51587338.665
2010-01-13,2444.237,2457.9,2396.474,2399.642,49558854.0,64803855.136
2010-01-14,2412.634,2428.705,2384.165,2422.771,30562214.0,39708569.808
2010-01-15,2423.13,2445.203,2402.904,2427.807,25994928.0,34691328.647
2010-01-18,2414.893,2421.89,2398.778,2421.188,30936344.0,41866659.345
2010-01-19,2424.469,2450.281,2424.161,2432.713,27829076.0,37544640.666
2010-01-20,2436.647,2439.468,2356.161,2359.485,34748485.0,45720566.126
2010-01-21,2362.597,2391.508,2346.148,2377.753,29196147.0,37804392.708
2010-01-22,2344.973,2398.989,2317.481,2380.055,40639272.0,49042084.127
2010-01-25,2355.357,2389.627,2350.009,2353.471,20749880.0,26430130.648
2010-01-26,2354.905,2363.411,2296.875,2311.447,24700383.0,30347743.465
2010-01-27,2313.007,2319.993,2260.564,2264.605,22280212.0,27288373.309
2010-01-28,2263.061,2267.853,2235.603,2252.61,19023456.0,23754286.041
2010-01-29,2241.117,2276.767,2231.649,2243.994,18626036.0,23861735.672
2010-02-01,2238.617,2238.898,2182.952,2208.936,22082437.0,28608214.63
2010-02-02,2223.598,2261.633,2210.696,2214.033,19640116.0,25970058.516
2010-02-03,2226.797,2278.475,2190.428,2277.798,24836450.0,32146915.297
2010-02-04,2258.084,2276.47,2247.64,2261.358,17182667.0,21637703.163
2010-02-05,2212.308,2233.315,2204.929,2219.6,18456182.0,22714229.934
2010-02-08,2220.842,2233.135,2201.802,2211.135,12006796.0,15532833.677
2010-02-09,2210.328,2234.53,2207.848,2229.038,10541683.0,13316002.985
2010-02-10,2246.77,2260.479,2239.177,2259.99,12084848.0,16865860.503
2010-02-11,2261.823,2275.759,2254.975,2265.138,12535479.0,15327711.044
2010-02-12,2275.592,2286.676,2270.756,2284.386,13026260.0,16653482.712
2010-02-22,2282.09,2291.783,2268.092,2269.045,13688359.0,16865165.2
2010-02-23,2261.993,2261.993,2202.214,2227.952,15276395.0,25286082.271
2010-02-24,2211.393,2252.645,2204.675,2251.7,16815352.0,21257295.094
2010-02-25,2254.801,2286.92,2251.963,2282.64,24186779.0,32214891.643
2010-02-26,2278.432,2288.597,2270.769,2274.325,15274059.0,19400436.299
2010-03-01,2282.338,2316.384,2281.699,2311.075,19312675.0,25599322.599
2010-03-02,2312.492,2320.312,2293.917,2302.185,15212338.0,20304283.982
2010-03-03,2304.056,2312.419,2287.037,2311.841,15845846.0,21138516.899
2010-03-04,2312.299,2312.783,2259.176,2261.926,19620716.0,24267036.362
2010-03-05,2264.678,2276.763,2258.962,2267.939,13347537.0,16806363.583
2010-03-08,2272.607,2290.091,2265.195,2284.682,12375553.0,15481047.925
2010-03-09,2284.024,2315.36,2266.818,2302.393,18752094.0,23070609.647
2010-03-10,2301.705,2318.312,2286.185,2292.503,16264503.0,21251366.719
2010-03-11,2296.931,2316.382,2282.887,2300.043,18310782.0,25256997.726
2010-03-12,2300.613,2306.99,2273.862,2274.532,14256317.0,18663941.964
2010-03-15,2274.714,2276.445,2232.953,2240.731,13912403.0,17651572.544
2010-03-16,2239.427,2262.006,2234.669,2261.515,11551315.0,15559100.981
2010-03-17,2266.958,2307.399,2260.102,2307.083,17223846.0,24603699.676
2010-03-18,2307.257,2318.05,2288.894,2294.947,15810293.0,21834936.837
2010-03-19,2296.776,2313.026,2282.378,2310.546,15390760.0,20301268.717
2010-03-22,2314.442,2330.671,2310.074,2316.631,19207858.0,24475053.603
2010-03-23,2319.198,2321.263,2290.432,2292.004,16566254.0,20855614.983
2010-03-24,2298.883,2313.427,2289.113,2291.833,16356315.0,18866986.145
2010-03-25,2286.613,2286.613,2253.609,2259.141,15898123.0,18904034.655
2010-03-26,2257.402,2302.513,2253.838,2292.673,19775343.0,22742345.838
2010-03-29,2309.916,2368.696,2306.283,2363.976,39014103.0,46144394.431
2010-03-30,2364.79,2372.794,2355.319,2368.51,18645035.0,23564042.955
2010-03-31,2370.827,2372.558,2345.848,2350.818,20562426.0,25053244.299
2010-04-01,2352.997,2381.388,2352.997,2376.597,23382671.0,29731727.221
2010-04-02,2382.545,2386.14,2370.659,2379.194,22423640.0,31142340.795
2010-04-06,2391.253,2403.816,2367.099,2378.575,21419648.0,29045006.305
2010-04-07,2376.778,2377.106,2349.505,2362.281,17687715.0,22959601.388
2010-04-08,2358.179,2358.179,2316.708,2325.672,21266808.0,27970724.842
2010-04-09,2327.264,2346.393,2322.474,2345.754,15695330.0,21335218.236
2010-04-12,2350.116,2353.788,2301.646,2317.383,25569911.0,32943230.536
2010-04-13,2316.994,2368.912,2315.279,2364.837,29195775.0,39796703.985
2010-04-14,2367.002,2371.068,2352.843,2366.611,20661062.0,29640527.91
2010-04-15,2370.197,2374.558,2343.244,2366.572,21401638.0,30379309.622
2010-04-16,2361.339,2361.339,2328.23,2329.12,16691811.0,22220603.517
2010-04-19,2296.882,2296.882,2208.772,2210.82,36489587.0,43937566.892
2010-04-20,2214.309,2224.733,2180.401,2204.812,23760792.0,29866748.137
2010-04-21,2207.499,2239.291,2189.972,2238.501,23823032.0,29954725.912
2010-04-22,2224.325,2224.325,2186.286,2196.224,26808632.0,32548822.891
2010-04-23,2195.405,2208.796,2169.47,2185.155,23238219.0,28752867.54
2010-04-26,2190.095,2197.591,2168.389,2170.319,17957054.0,22406860.183
2010-04-27,2165.936,2165.936,2103.416,2131.841,26412155.0,29773120.838
2010-04-28,2115.675,2137.431,2103.717,2126.529,16215434.0,18696454.347
2010-04-29,2139.995,2156.083,2123.855,2124.392,16745069.0,19826980.556
2010-04-30,2133.069,2150.033,2114.119,2149.453,21167687.0,24700872.546
2010-05-04,2103.673,2130.757,2096.118,2109.812,15831379.0,18275086.865
2010-05-05,2078.193,2110.783,2051.186,2110.045,24258194.0,30562916.109
2010-05-06,2089.653,2089.653,2005.062,2007.012,22747337.0,27533104.795
2010-05-07,1969.623,2012.969,1956.829,1980.168,25768834.0,29708888.806
2010-05-10,1987.1,2016.855,1968.004,2007.522,19269364.0,22960072.553
2010-05-11,2048.249,2051.272,1957.758,1967.66,24275437.0,28950358.96
2010-05-12,1956.506,2002.807,1943.515,2001.131,23270242.0,27358025.265
2010-05-13,1999.107,2044.825,1996.954,2041.556,24686011.0,28479328.73
2010-05-14,2024.617,2035.406,2012.492,2019.73,15917537.0,18731949.77
2010-05-17,1994.469,1994.469,1924.036,1927.692,21238602.0,23632146.922
2010-05-18,1928.987,1977.137,1919.074,1968.37,21972601.0,23126929.205
2010-05-19,1952.915,1986.601,1932.825,1956.22,18220323.0,18859231.842
2010-05-20,1939.496,1971.258,1920.994,1925.244,16142739.0,18467151.059
2010-05-21,1879.261,1944.702,1874.318,1943.429,20986633.0,21335366.192
2010-05-24,1955.069,2017.324,1955.069,2007.763,29445827.0,31709151.109
2010-05-25,1992.166,1994.187,1950.637,1958.458,20905385.0,22220182.886
2010-05-26,1962.926,1974.787,1948.403,1957.943,13853299.0,14345503.434
2010-05-27,1952.966,1987.882,1927.671,1982.952,18994763.0,20134276.361
2010-05-28,2001.195,2005.398,1964.408,1973.622,18592046.0,19435453.572
